departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
MAGDALENA,FUNDACION,6.956454721443483,5467.773411054577,19683984279.79648
CUNDINAMARCA,FUSAGASUGA,4.356776058091583,95.84907327801483,345056663.8008534
CUNDINAMARCA,GACHALA,4.1120704718973595,20.5603523594868,74017268.49415247
SANTANDER,GALAN,7.0252782169685,639.3003177441335,2301481143.8788805
SUCRE,GALERAS,5.026699945564503,120.64079869354808,434306875.2967731
CESAR,GAMARRA,7.904099488997636,150.17789029095508,540640405.0474383
SANTANDER,GAMBITA,5.175577305247562,72.45808227346586,260849096.1844771
BOYACA,GARAGOA,6.933589111729459,110.93742578767134,399374732.8356169
HUILA,GARZON,11.347954035763108,32262.233323674514,116144039965.22824
QUINDIO,GENOVA,10.086411187304176,20616.624466849735,74219848080.65904
VALLE DEL CAUCA,GINEBRA,15.257104297443117,1129.0257180107906,4064492584.838846
ANTIOQUIA,GIRALDO,5.056908516906752,50.56908516906752,182048706.60864308
CUNDINAMARCA,GIRARDOT,11.635782112623158,523.6101950680421,1884996702.2449517
ANTIOQUIA,GIRARDOTA,10.88846603923096,462.9775759881004,1666719273.5571613
ANTIOQUIA,GOMEZ PLATA,5.877829711202909,7133.921920486971,25682118913.753098
META,GRANADA,16.097703597935574,64394.03393246188,231818522156.8628
ANTIOQUIA,GRANADA,3.8948638709131007,23.369183225478604,84129059.61172298
VALLE DEL CAUCA,GUACARI,11.241205336346528,2225.7586565966126,8012731163.747806
CAUCA,GUACHENE,13.098725657265312,654.9362828632657,2357770618.3077564
VALLE DEL CAUCA,GUADALAJARA DE BUGA,8.09175381083906,283.21138337936713,1019560980.1657218
HUILA,GUADALUPE,3.680717946570671,3754.3323055020846,13515596299.807505
ANTIOQUIA,GUADALUPE,4.059199453754185,40.59199453754185,146131180.33515066
CUNDINAMARCA,GUADUAS,6.144279294669323,3035.2739715666453,10926986297.639923
META,GUAMAL,7.34455278878942,220.3365836636826,793211701.1892573
TOLIMA,GUAMO,7.78887124010069,1752.4960290226552,6308985704.481559
CAUCA,GUAPI,12.616988008130022,3671.5435103658365,13217556637.31701
SANTANDER,GUAPOTA,11.71788598612942,93.74308788903537,337475116.4005273
SUCRE,GUARANDA,6.018065619331302,334.00264187288724,1202409510.742394
CUNDINAMARCA,GUATAQUI,9.777974449658178,1437.3622440997522,5174504078.759108
RISARALDA,GUATICA,5.27227021818905,6512.308173507115,23444309424.625614
SANTANDER,GUAVATA,14.417468550751204,446.9415250732873,1608989490.2638345
CUNDINAMARCA,GUAYABAL DE SIQUIMA,5.244596996710726,482.5029236973868,1737010525.3105924
BOYACA,GUAYATA,4.764564087054459,533.6311777500994,1921072239.9003577
SANTANDER,GUEPSA,4.490774009051169,17.963096036204675,64667145.73033683
NORTE DE SANTANDER,HACARI,6.0215349616349245,295.0552131201113,1062198767.2324008
BOLIVAR,HATILLO DE LOBA,5.106116851533049,334.961265460568,1205860555.6580448
SANTANDER,HATO,7.872867451119138,102.34727686454879,368450196.71237564
CASANARE,HATO COROZAL,7.8648746679719945,3499.8692272475378,12599529218.091135
ANTIOQUIA,HELICONIA,4.571835550371098,640.5141606069908,2305850978.185167
TOLIMA,HERVEO,8.74419623613171,8105.8699108940955,29181131679.218742
ANTIOQUIA,HISPANIA,12.09012495563604,1378.2742449425086,4961787281.793031
HUILA,HOBO,3.659735404352892,589.2174001008157,2121182640.3629365
TOLIMA,HONDA,12.42954632851377,472.3227604835232,1700361937.7406836
TOLIMA,IBAGUE,11.82215581522271,11822.15581522271,42559760934.80176
NARINO,ILES,6.806692242099132,40.84015345259479,147024552.42934126
GUAINIA,INIRIDA,7.972712368306054,1291.5794036655807,4649685853.19609
CAUCA,INZA,7.5230603270345195,334.7761845530361,1205194264.3909302
NARINO,IPIALES,7.547418323994833,67.9267649159535,244536353.69743258
HUILA,IQUIRA,4.237152958290251,4076.5648611710503,14675633500.215782
