departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
META,EL DORADO,0.6308313264751004,222.68345824571045,2850348265.545094
VALLE DEL CAUCA,EL DOVIO,0.43353040587643354,9.104138523405105,116532973.09958534
SANTANDER,EL GUACAMAYO,0.627835982224483,157.58683153834522,2017111443.6908188
LA GUAJIRA,EL MOLINO,0.8056407140693101,8.056407140693102,103122011.40087171
CAQUETA,EL PAUJIL,0.8255372663659721,66.04298130927776,845350160.7587554
NARINO,EL PENOL,0.5121403288441039,8.09181719573684,103575260.10543156
CUNDINAMARCA,EL PENON,0.6856084643702285,48.67820097028622,623080972.4196635
SANTANDER,EL PENON,0.8413465200521321,699.1589581633217,8949234664.490517
SANTANDER,EL PLAYON,0.69680469359326,1057.0527201809755,13530274818.316486
GUAVIARE,EL RETORNO,0.6780837139784346,193.25385848385386,2473649388.5933294
NARINO,EL ROSARIO,0.40872896413654214,5.027366258879469,64350288.11365721
CAUCA,EL TAMBO,0.7579318756798595,450.9694660295164,5772409165.17781
NORTE DE SANTANDER,EL TARRA,0.6103437557820297,463.2509106385605,5929611656.173574
NORTE DE SANTANDER,EL ZULIA,0.7574450633412206,265.1057721694272,3393353883.768668
HUILA,ELIAS,0.6772242555216159,102.93808683928562,1317607511.542856
TOLIMA,ESPINAL,0.5944549559420256,35.66729735652154,456541406.16347563
TOLIMA,FALAN,0.7698799265514298,776.0389659638412,9933298764.337168
QUINDIO,FILANDIA,0.7121760039717564,2.136528011915269,27347558.552515443
CAQUETA,FLORENCIA,0.7634382842078217,143.52639743107048,1837137887.117702
CAUCA,FLORENCIA,0.6781825146830006,6.781825146830006,86807361.87942408
SANTANDER,FLORIAN,0.35597979051712647,253.45761084819404,3244257418.856884
VALLE DEL CAUCA,FLORIDA,0.5151806860897743,10.226336618882021,130897108.72168988
SANTANDER,FLORIDABLANCA,0.9000755771632878,72.00604617306303,921677391.0152067
LA GUAJIRA,FONSECA,0.6092698943780777,0.6092698943780777,7798654.648039393
ARAUCA,FORTUL,0.9043235531894442,1900.8881088042117,24331367792.69391
NARINO,FRANCISCO PIZARRO,0.786682360274273,386.26103889466805,4944141297.85175
TOLIMA,FRESNO,0.5205804155220518,250.91976028162898,3211772931.6048512
ANTIOQUIA,FRONTINO,0.6866906534469539,70.98321284681163,908585124.4391887
META,FUENTE DE ORO,0.807480500367528,162.3762538189062,2078416048.8819995
MAGDALENA,FUNDACION,0.5781563955322984,445.758580955402,5705709836.229145
SANTANDER,GALAN,0.609533596011916,112.15418166619256,1435573525.3272648
HUILA,GARZON,0.6236218933110187,147.79838871471142,1891819375.5483062
QUINDIO,GENOVA,0.5157625390085042,1.5472876170255128,19805281.497926563
HUILA,GIGANTE,0.6105109144829688,302.4776325805869,3871713697.031512
SANTANDER,GIRON,0.8899779710351561,305.26244406505856,3907359284.0327497
NORTE DE SANTANDER,GRAMALOTE,0.35251971197618504,3.5251971197618506,45122523.13295169
META,GRANADA,0.609452216732211,764.2530797821926,9782439421.212065
ANTIOQUIA,GRANADA,0.5351523086635441,4.281218469308353,54799596.40714692
VALLE DEL CAUCA,GUACARI,0.523583251315418,5.235832513154181,67018656.16837352
CAUCA,GUACHENE,0.7100584636809795,37.633098575091914,481703661.76117647
VALLE DEL CAUCA,GUADALAJARA DE BUGA,0.4441364913564434,2.220682456782217,28424735.446812376
HUILA,GUADALUPE,0.5192073269970411,56.74936084077659,726391818.7619404
SANTANDER,GUADALUPE,0.7621389641224997,119.65581736723246,1531594462.3005755
ANTIOQUIA,GUADALUPE,0.5409643155073194,39.490395032034314,505477056.4100392
